,Feature,Information_gain
0,TOT_INVOICE_COUNT,267.90924072265625
18,TOT_PRI_INV_SUM3M,41.34084701538086
20,AVG_PRI_INV_SUM2M,18.66444969177246
28,Freq_Month,18.579975128173828
15,MIN_QNT_INV_SUM3M,15.327542304992676
27,MIN_PRI_INV_SUM3M,14.740294456481934
6,TOT_QNT_INV_SUM3M,13.532208442687988
1,AVG_Distict_Product_C1M,12.890003204345703
2,AVG_Distict_Product_C2M,11.93342113494873
19,AVG_PRI_INV_SUM1M,11.578624725341797
5,TOT_QNT_INV_SUM2M,10.558611869812012
4,TOT_QNT_INV_SUM1M,10.16206169128418
3,AVG_Distict_Product_C3M,9.805706024169922
29,Freq_Country,9.508398056030273
16,TOT_PRI_INV_SUM1M,9.479558944702148
17,TOT_PRI_INV_SUM2M,8.94880485534668
11,MAX_QNT_INV_SUM2M,8.937926292419434
22,MAX_PRI_INV_SUM1M,8.900002479553223
26,MIN_PRI_INV_SUM2M,8.847280502319336
14,MIN_QNT_INV_SUM2M,8.684399604797363
10,MAX_QNT_INV_SUM1M,8.014025688171387
13,MIN_QNT_INV_SUM1M,7.836097717285156
24,MAX_PRI_INV_SUM3M,7.544580459594727
21,AVG_PRI_INV_SUM3M,7.487459659576416
9,AVG_QNT_INV_SUM3M,6.881958961486816
7,AVG_QNT_INV_SUM1M,6.8768839836120605
12,MAX_QNT_INV_SUM3M,6.7534871101379395
25,MIN_PRI_INV_SUM1M,6.619876861572266
8,AVG_QNT_INV_SUM2M,6.125035285949707
23,MAX_PRI_INV_SUM2M,5.886763095855713
